"measuredElementSuaFbs","timePointYears","geographicAreaM49","measuredItemFbsSua","Value","flagObservationStatus","flagMethod"
"5141","2014","426","S2531",126149.518483,"I","s"
"5610","2014","426","S2531",8473.172,"I","s"
"5016","2014","426","S2531",9927.382792,"I","s"
"5510","2014","426","S2531",131924.566043,"I","s"
"5071","2014","426","S2531",1586.003269,"I","s"
"664","2014","426","S2531",112.835070977778,"I","s"
"674","2014","426","S2531",2.69410298313039,"I","s"
"684","2014","426","S2531",0.167504363940645,"I","s"
"5166","2014","426","S2531",0,"I","s"
"261","2014","426","S2531",85668.05133361,"I","s"
"271","2014","426","S2531",2045.450502728,"I","s"
"281","2014","426","S2531",127.174754483,"I","s"
"5141","2014","426","S2532",25.197,"I","s"
"5610","2014","426","S2532",25.420754,"I","s"
"664","2014","426","S2532",0.0846280306354384,"I","s"
"674","2014","426","S2532",0.000929248963840107,"I","s"
"684","2014","426","S2532",0.000232312240960027,"I","s"
"5166","2014","426","S2532",0.223754,"I","s"
"261","2014","426","S2532",64.25235,"I","s"
"271","2014","426","S2532",0.705516,"I","s"
"281","2014","426","S2532",0.176379,"I","s"
"5520","2014","426","S2533",3.925135,"I","s"
"5141","2014","426","S2533",18.198865,"I","s"
"5610","2014","426","S2533",22.124,"I","s"
"664","2014","426","S2533",0.0220524755338939,"I","s"
"674","2014","426","S2533",0.00016779057471441,"I","s"
"684","2014","426","S2533",0.0000479401642041173,"I","s"
"5166","2014","426","S2533",-0.0000000000000035527136788005,"I","s"
"261","2014","426","S2533",16.7429558,"I","s"
"271","2014","426","S2533",0.127392055,"I","s"
"281","2014","426","S2533",0.03639773,"I","s"
"5910","2014","426","S2534",0.012865,"I","s"
"5520","2014","426","S2534",0.016365,"I","s"
"5141","2014","426","S2534",5.45977,"I","s"
"5610","2014","426","S2534",5.489,"I","s"
"5016","2014","426","S2534",0,"I","s"
"5510","2014","426","S2534",0,"I","s"
"664","2014","426","S2534",0.00662822450227482,"I","s"
"674","2014","426","S2534",0.000116346996137817,"I","s"
"684","2014","426","S2534",0.0000146202279529702,"I","s"
"5166","2014","426","S2534",-0.000000000000000888178419700125,"I","s"
"261","2014","426","S2534",5.03236336,"I","s"
"271","2014","426","S2534",0.088334419,"I","s"
"281","2014","426","S2534",0.011100152,"I","s"
"5520","2014","426","S2535",0.15626,"I","s"
"5141","2014","426","S2535",0.89374,"I","s"
"5610","2014","426","S2535",1.05,"I","s"
"664","2014","426","S2535",0.00118893411153239,"I","s"
"674","2014","426","S2535",0.0000153031123266545,"I","s"
"684","2014","426","S2535",0.00000235432497333146,"I","s"
"5166","2014","426","S2535",0,"I","s"
"261","2014","426","S2535",0.9026774,"I","s"
"271","2014","426","S2535",0.01161862,"I","s"
"281","2014","426","S2535",0.00178748,"I","s"
"5520","2014","426","S2536",6.52493,"I","s"
"5141","2014","426","S2536",36.65407,"I","s"
"5610","2014","426","S2536",43.179,"I","s"
"664","2014","426","S2536",0.0144833383940362,"I","s"
"674","2014","426","S2536",0.0000965555892935745,"I","s"
"684","2014","426","S2536",0,"I","s"
"5166","2014","426","S2536",0.000000000000007105427357601,"I","s"
"261","2014","426","S2536",10.996221,"I","s"
"271","2014","426","S2536",0.07330814,"I","s"
"281","2014","426","S2536",0,"I","s"
"5520","2014","426","S2537",0.029365,"I","s"
"5141","2014","426","S2537",0.170635,"I","s"
"5610","2014","426","S2537",0.2,"I","s"
"664","2014","426","S2537",0.000157322694115229,"I","s"
"674","2014","426","S2537",0.00000292170717642568,"I","s"
"684","2014","426","S2537",0.000000224746705878898,"I","s"
"5166","2014","426","S2537",0,"I","s"
"261","2014","426","S2537",0.1194445,"I","s"
"271","2014","426","S2537",0.002218255,"I","s"
"281","2014","426","S2537",0.000170635,"I","s"
"5910","2014","426","S2542",18.686,"I","s"
"5141","2014","426","S2542",22801.152822,"I","s"
"5610","2014","426","S2542",23223.793,"I","s"
"5071","2014","426","S2542",403.954178,"I","s"
"664","2014","426","S2542",111.843798517394,"I","s"
"674","2014","426","S2542",0,"I","s"
"684","2014","426","S2542",0,"I","s"
"5166","2014","426","S2542",0,"I","s"
"261","2014","426","S2542",84915.4450802,"I","s"
"271","2014","426","S2542",0,"I","s"
"281","2014","426","S2542",0,"I","s"
"5910","2014","426","S2543",23.089077,"I","s"
"5520","2014","426","S2543",0,"I","s"
"5141","2014","426","S2543",16748.412923,"I","s"
"5610","2014","426","S2543",16771.382,"I","s"
"5071","2014","426","S2543",0,"I","s"
"664","2014","426","S2543",17.0791987678715,"I","s"
"674","2014","426","S2543",0.00000259999412432939,"I","s"
"684","2014","426","S2543",0,"I","s"
"5166","2014","426","S2543",-0.119999999998981,"I","s"
"261","2014","426","S2543",12967.08252234,"I","s"
"271","2014","426","S2543",0.001974,"I","s"
"281","2014","426","S2543",0,"I","s"
"5910","2014","426","S2546",0.291861,"I","s"
"5520","2014","426","S2546",500,"I","s"
"5141","2014","426","S2546",1625.699884,"I","s"
"5610","2014","426","S2546",559.14,"I","s"
"5016","2014","426","S2546",113.169907,"I","s"
"5510","2014","426","S2546",2400,"I","s"
"5525","2014","426","S2546",326.566443,"I","s"
"5071","2014","426","S2546",393.411905,"I","s"
"664","2014","426","S2546",7.19457046182633,"I","s"
"674","2014","426","S2546",0.464649342326284,"I","s"
"684","2014","426","S2546",0.0321186181331533,"I","s"
"5166","2014","426","S2546",-0.000000000000454747350886464,"I","s"
"261","2014","426","S2546",5462.35161024,"I","s"
"271","2014","426","S2546",352.776874828,"I","s"
"281","2014","426","S2546",24.38549826,"I","s"
"5910","2014","426","S2547",2.118561,"I","s"
"5520","2014","426","S2547",39.180768,"I","s"
"5141","2014","426","S2547",1562.638974,"I","s"
"5610","2014","426","S2547",1118.462,"I","s"
"5016","2014","426","S2547",28.840629,"I","s"
"5510","2014","426","S2547",611.62469,"I","s"
"5525","2014","426","S2547",77.294929,"I","s"
"5071","2014","426","S2547",20.012829,"I","s"
"664","2014","426","S2547",6.97723849613732,"I","s"
"674","2014","426","S2547",0.458974685734107,"I","s"
"684","2014","426","S2547",0.0226400069196196,"I","s"
"5166","2014","426","S2547",0.000000000000227373675443232,"I","s"
"261","2014","426","S2547",5297.34612186,"I","s"
"271","2014","426","S2547",348.468491202,"I","s"
"281","2014","426","S2547",17.189028714,"I","s"
"5910","2014","426","S2549",10.226173,"I","s"
"5520","2014","426","S2549",11.450804,"I","s"
"5141","2014","426","S2549",249.964327,"I","s"
"5610","2014","426","S2549",270.954,"I","s"
"664","2014","426","S2549",1.18202083185363,"I","s"
"674","2014","426","S2549",0.0629927900990696,"I","s"
"684","2014","426","S2549",0.0167961666445292,"I","s"
"5166","2014","426","S2549",-0.687303999999983,"I","s"
"261","2014","426","S2549",897.42861349,"I","s"
"271","2014","426","S2549",47.826172564,"I","s"
"281","2014","426","S2549",12.75219534,"I","s"
"5910","2014","426","S2551",0.114,"I","s"
"5141","2014","426","S2551",79.929,"I","s"
"5610","2014","426","S2551",80.043,"I","s"
"5071","2014","426","S2551",0,"I","s"
"664","2014","426","S2551",0.329109245108236,"I","s"
"674","2014","426","S2551",0.00881943690805063,"I","s"
"684","2014","426","S2551",0.0306289502351839,"I","s"
"5166","2014","426","S2551",-0.000000000000014210854715202,"I","s"
"261","2014","426","S2551",249.87043,"I","s"
"271","2014","426","S2551",6.696003,"I","s"
"281","2014","426","S2551",23.254494,"I","s"
"5910","2014","426","S2555",1.784,"I","s"
"5520","2014","426","S2555",11.490338,"I","s"
"5141","2014","426","S2555",200.972478,"I","s"
"5610","2014","426","S2555",214.246816,"I","s"
"664","2014","426","S2555",0.394302295034175,"I","s"
"674","2014","426","S2555",0.0432225534185356,"I","s"
"684","2014","426","S2555",0.0167578723136432,"I","s"
"5166","2014","426","S2555",-0.000000000000028421709430404,"I","s"
"261","2014","426","S2555",299.3671113,"I","s"
"271","2014","426","S2555",32.81596664,"I","s"
"281","2014","426","S2555",12.72312104,"I","s"
"5910","2014","426","S2556",1.699,"I","s"
"5141","2014","426","S2556",244.978,"I","s"
"5610","2014","426","S2556",246.677,"I","s"
"664","2014","426","S2556",1.86992533650612,"I","s"
"674","2014","426","S2556",0.0863973305884034,"I","s"
"684","2014","426","S2556",0.158633272916398,"I","s"
"5166","2014","426","S2556",-0.000000000000028421709430404,"I","s"
"261","2014","426","S2556",1419.70806,"I","s"
"271","2014","426","S2556",65.59566,"I","s"
"281","2014","426","S2556",120.439534,"I","s"
"5520","2014","426","S2557",0.102127,"I","s"
"5141","2014","426","S2557",0.482873,"I","s"
"5610","2014","426","S2557",0.585,"I","s"
"664","2014","426","S2557",0.0019588846228043,"I","s"
"674","2014","426","S2557",0.0000782281846119901,"I","s"
"684","2014","426","S2557",0.000170448402244011,"I","s"
