"geographicAreaM49","measuredItemFbsSua","measuredElementSuaFbs","timePointYears","Value","flagObservationStatus","flagMethod"
"426","25020.02","5910","2017",0.516,"I","s"
"426","25090","5910","2017",0.022,"I","s"
"426","26130","5910","2017",2823.406,"I","s"
"426","26150.01","5910","2017",147.8459,"I","s"
"426","26150.02","5910","2017",2856.615,"I","s"
"426","26160","5910","2017",223.7016,"I","s"
"426","35410.90","5910","2017",24.4794,"I","s"
"426","39120.14","5910","2017",0,"I","s"
"426","39120.91","5910","2017",3,"I","s"
"426","39170.01","5910","2017",3282.161,"I","s"
"426","F0235","5910","2017",0.1536,"I","s"
"426","F0475","5910","2017",0.00228,"I","s"
"426","F0623","5910","2017",0.065,"I","s"
"426","F0665","5910","2017",0.248775531914894,"I","s"
"426","F0769","5910","2017",0,"I","s"
"426","F1232","5910","2017",1854.29718,"I","s"
"426","F1243","5910","2017",0.0005,"I","s"
"426","F1294","5910","2017",776.201,"I","s"
"426","0111","5910","2018",33584.6575490196,"I","s"
"426","0112","5910","2018",4656.77517455556,"I","s"
"426","0113","5910","2018",19.5705,"I","s"
"426","0114","5910","2018",6.50117647058824,"I","s"
"426","0117","5910","2018",0.002242,"I","s"
"426","01241.90","5910","2018",4.812,"I","s"
"426","01242","5910","2018",0.5,"I","s"
"426","01290.90","5910","2018",1.8819575,"I","s"
"426","01342.01","5910","2018",0.082,"I","s"
"426","01344.02","5910","2018",0.15,"I","s"
"426","01345","5910","2018",0.387,"I","s"
"426","01355.90","5910","2018",37.525,"I","s"
"426","01359.90","5910","2018",80.05,"I","s"
"426","01379.90","5910","2018",0.5,"I","s"
"426","0143","5910","2018",0.01,"I","s"
"426","01510","5910","2018",2.5,"I","s"
"426","01610","5910","2018",4.05,"I","s"
"426","01620","5910","2018",1.577316,"I","s"
"426","01652","5910","2018",0.029,"I","s"
"426","01657","5910","2018",1.6,"I","s"
"426","01699","5910","2018",2.048336,"I","s"
"426","01701","5910","2018",2.552581,"I","s"
"426","01704","5910","2018",0.011483,"I","s"
"426","01705","5910","2018",2.421423,"I","s"
"426","01707","5910","2018",0.825,"I","s"
"426","01708","5910","2018",0.15,"I","s"
"426","01709.90","5910","2018",0.004012,"I","s"
"426","01809","5910","2018",11.714,"I","s"
"426","01913","5910","2018",1,"I","s"
"426","01921.02","5910","2018",0,"I","s"
"426","01930.02","5910","2018",3.65,"I","s"
"426","01990.01","5910","2018",38,"I","s"
"426","0231","5910","2018",0.25,"I","s"
"426","02910","5910","2018",0.12317,"I","s"
"426","02941","5910","2018",1909.723,"I","s"
"426","02943.02","5910","2018",7.82,"I","s"
"426","02951.04","5910","2018",1,"I","s"
"426","02953.01","5910","2018",36.115,"I","s"
"426","02959.99","5910","2018",67.315,"I","s"
"426","17400","5910","2018",174.719847,"I","s"
"426","21115","5910","2018",0.25,"I","s"
"426","21121","5910","2018",10.179,"I","s"
"426","21160.01","5910","2018",0.12,"I","s"
"426","21319.01","5910","2018",0.005,"I","s"
"426","21329","5910","2018",3.64566,"I","s"
"426","21330.90","5910","2018",0.455,"I","s"
"426","21340","5910","2018",7.82,"I","s"
"426","21419.99","5910","2018",432.892,"I","s"
"426","21429.07","5910","2018",0.5,"I","s"
"426","21431.02","5910","2018",0.75,"I","s"
"426","21434","5910","2018",0.15,"I","s"
"426","21439.9","5910","2018",2.409,"I","s"
"426","21495.01","5910","2018",0.42,"I","s"
"426","21631.01","5910","2018",0.496,"I","s"
"426","21691.04","5910","2018",0.008754,"I","s"
"426","21691.90","5910","2018",0.004504,"I","s"
